Claim ID,Video ID,Uploader,Video Title,Claim Type,Claim Status,Claim Origin,Claim Source,Video Views,Claim Date,ID
IELhYNGwlr0,NHD4oyiVVOQ,MemorableVines,Epic Vine Compilation 2014 - Trending Vine Videos - March 2014,Audio/Visual,Active,Search,User Uploaded,22920,Sat Mar 22 16:37:52 PDT 2014,3
oBpxUjuOoJY,bfurCv2z5S8,BestVineCompilations,*NEW* Extreme Vine Compilation March 2014 - BEST NEW VINES - Funniest Vines of 2014,Audio/Visual,Active,Search,User Uploaded,9373,Fri Mar 21 10:04:29 PDT 2014,3
 --eM-vLRol8,Q7ryiDSPEwQ,Glompus,*NEW* FUNNIEST Vines Compilation March 2014 BEST VINES! (300+ Vines),Audio/Visual,Active,Search,User Uploaded,3739,Wed Mar 19 11:18:45 PDT 2014,3
Q8C4I0SDuS0,4l9Klv9GfM4,VineDaily,"Vine Daily‰ã¢ ‰Ñã Tuesday, March 18th, 2014 ‰÷É Vine Compilation",Audio/Visual,Active,Search,User Uploaded,40932,Wed Mar 19 10:44:27 PDT 2014,3
StlXH9UyZWo,Lf4_OUyfE4M,dweebmodeON: Best VINES Compilations & More!,Best VINES 2014 (Funniest Vines Compilation w/ TITLES!) NEW,Audio/Visual,Active,Search,User Uploaded,92786,Mon Mar 17 11:24:51 PDT 2014,3
jNS7SUtYQmk,5moa_S4NSEY,RusVineArmy,RusVineArmy #59 | VINE Compilation,Audio/Visual,Active,Search,User Uploaded,4265,Mon Mar 17 10:21:33 PDT 2014,3
tEvApbE_1YU,8L_wJ4RSB0Y,PGVines,"Top 2013 Vines (~200) Clean / PG  - Vine compilation - "" New Year's Marathon "" *",Audio/Visual,Active,Search,User Uploaded,45127,Thu Mar 13 18:06:13 PDT 2014,3
10o7sEQoZQE,8L_wJ4RSB0Y,PGVines,"Top 2013 Vines (~200) Clean / PG  - Vine compilation - "" New Year's Marathon "" *",Audio/Visual,Active,Search,User Uploaded,45127,Thu Mar 13 18:03:48 PDT 2014,3
xxrNQ9pFyDM,0PRCTyILlvM,PGVines,Hilarious *NEW* - Vine Compilation w/ Puppies!!!! November 2013 - PG Vines * Part 11 [HD],Audio/Visual,Active,Search,User Uploaded,1496,Thu Mar 13 17:39:50 PDT 2014,3
Yws68cGdlcM,u920SQpdmxE,PGVines,Best Of New Vines - Vine Compilation October 2013 - PG Vines * Part 4 [HD],Audio/Visual,Active,Search,User Uploaded,6264,Thu Mar 13 17:11:24 PDT 2014,3
Gv4M9o4uzM0,R0fUlEmyqPQ,Glompus,BEST VINES Compilation November 2013 Edition,Audio/Visual,Active,Search,User Uploaded,7341,Thu Mar 13 13:37:54 PDT 2014,3
0piJlj-1gMw,caxojqRek4M,PG Vines,Best Of New Vines - Vine Compilation October 2013 - PG Vines * Part 4,Audio/Visual,Active,Search,User Uploaded,3228,Wed Mar 12 17:49:00 PDT 2014,3
FQlK6orIlyw,fToRCXIl2gw,VineDaily,"Vine Daily‰ã¢ ‰Ñã Tuesday, March 11th, 2014 ‰÷É Vine Compilation",Audio/Visual,Active,Search,User Uploaded,41202,Wed Mar 12 10:24:43 PDT 2014,3
xdN7tJ0NvqA,WeP4jF3WBpY,SpotVine,BEST OF SEXY & HOT VINES COMPILATION #3 2014,Audio/Visual,Active,Search,User Uploaded,28138,Tue Mar 11 17:59:27 PDT 2014,3
m1EixEuF874,WeP4jF3WBpY,SpotVine,BEST OF SEXY & HOT VINES COMPILATION #3 2014,Audio/Visual,Active,Search,User Uploaded,28138,Tue Mar 11 17:59:19 PDT 2014,3
z9Df_Wb7ckI,UxwpDOKZt94,YackleTV,Funniest Vines Compilation 2014 - Best Vine Videos - March 2014 Video- Funny Vines,Audio/Visual,Active,Search,User Uploaded,41838,Tue Mar 11 15:45:46 PDT 2014,3
lHn49l1r2vw,CYXKTXkUg20,Vine Compilations,Best Vines Compilation of January 2014!,Audio/Visual,Active,Search,User Uploaded,552605,Tue Mar 11 12:36:18 PDT 2014,3
Ah76h3DxVnE,DEXpKSheVJw,Best VineS fuNNy,FUNNY VINE best vines compilation (‰÷ÉTOP‰÷É BEST VINES) Viral Hits Epic Compilations,Audio/Visual,Active,Search,User Uploaded,17063,Mon Mar 10 16:39:50 PDT 2014,3
LlEXNZzPTrc,Q09fGQr9lxI,buzzvines,*NEW* Best Vine Compilation March 2014 (350+ Funniest Vines) - Best Vines - Funny Vines,Audio/Visual,Active,Search,User Uploaded,453581,Mon Mar 10 12:08:45 PDT 2014,3
AF-1skd2Mts,FVut5daJrP4,Vines Army,‰÷É BEST VINES OF MARCH 2014 - Funny NEW Vines,Audio/Visual,Active,Search,User Uploaded,54350,Mon Mar 10 11:39:16 PDT 2014,3
V6Tk02dqsiI,u8ltNJ73HGY,TheHalfwayMainstream,Funniest Vines Compilation 2014 - Best Vine Videos - March 2014 Video- Funny Vines,Audio/Visual,Active,Search,User Uploaded,99489,Mon Mar 10 11:26:06 PDT 2014,3
e6_MIepcSPI,sxQr88cAA30,TheHalfwayMainstream,Funniest Vines Compilation 2014 - Best Vine Videos - March 2014 Video- Funny Vines,Audio/Visual,Active,Search,User Uploaded,117997,Sun Mar 09 14:21:37 PDT 2014,3
U2v0n0ibXO4,r6QgR3s3Qxw,,"*New* Vine Compilation MARCH 2014!!! - The Best Vines, Funniest Vines, 2014 Vines! [200+ Vines]",Audio/Visual,Active,Search,User Uploaded,19245,Fri Mar 07 15:05:36 PST 2014,3
dcfm-yiJ2tA,YOQ3xTnAggg,Vine is legend,Best Vines compilation December  2013 [120 plus vines],Audio/Visual,Active,Search,User Uploaded,31096,Thu Mar 06 15:30:12 PST 2014,3
3sQcNDZKBEc,ajs427msmBU,BestFunnyVideo,"Vine Daily‰ã¢ ‰Ñã Tuesday, December 24th, 2013 ‰÷É Vine Compilation",Audio/Visual,Active,Search,User Uploaded,781,Thu Mar 06 14:12:52 PST 2014,3
8SslrdbYUsI,ReQTZQgerrc,TwisterNederlandTNL,Vine Compilation MARCH 2014 || TNL,Audio/Visual,Active,Search,User Uploaded,14413,Wed Mar 05 11:58:49 PST 2014,3
GdBsONxm1Ns,3qPubPNmPqo,"KodSpot - GTA V Online Glitches, Tips, Tricks and Easter Eggs","Sexy Girl Vine Compilation ""Sexy Vines"" Sexy Girls, Twerking & More! ( ""Vine Compilation"" )",Audio/Visual,Active,Search,User Uploaded,93863,Tue Mar 04 13:14:36 PST 2014,3
K5CU6lqjo7I,CK7RSa098rI,IamAmericanNukes,3hrs Ultimate BEST VINES 2013 Compilation December Vine Compilation,Audio/Visual,Active,Search,User Uploaded,2229280,Mon Mar 03 17:31:57 PST 2014,3
67XAtM0TmZI,xhZeJL_07LU,"zDoubleTrouble - #1 Source for GTA 5   Glitches, GTA V Stunts, Modding, RP / Money Glitches",Vine Compilation Funniest & Best Vines 2014 Funny Video,Audio/Visual,Active,Search,User Uploaded,24257,Mon Mar 03 14:59:27 PST 2014,3
UtvxS4ZpKlM,XPjC0g5F3JE,dweebmodeON: Best VINES Compilations & More!,Best VINES Compilation 2014: Funniest Vines of the Week (March New),Audio/Visual,Active,Search,User Uploaded,69503,Mon Mar 03 10:39:48 PST 2014,3
CzKdaiY3GCU,VsJ7L6QJyKw,worldoffvines,Best Vines of November 2013 - Compilation Part 6 (77 Total),Audio/Visual,Active,Search,User Uploaded,46577,Fri Feb 28 12:58:37 PST 2014,3
ot3XrPgB12Q,whdJhiyoLUI,worldoffvines,Best Vines of November 2013 - Compilation Part 10 (66 Total),Audio/Visual,Active,Search,User Uploaded,62762,Fri Feb 28 12:33:01 PST 2014,3
nznqxlZyKlY,NKXbScfqnCE,worldoffvines,Best Vines of November 2013 - Compilation Part 2 (98 Total),Audio/Visual,Active,Search,User Uploaded,89893,Fri Feb 28 12:17:39 PST 2014,3
S20C5xN53S0,cP192ZU3Te0,worldoffvines,Best Vines of November 2013 - Compilation Part 4 (80 Total),Audio/Visual,Active,Search,User Uploaded,231219,Fri Feb 28 10:54:22 PST 2014,3
iLlSKVIrY1E,2x_MmkomlXw,buzzvines,*NEW* Vines Compilation 2014 - Best Vines Compilation - Funniest Vines 2014 - February 2014 HD,Audio/Visual,Active,Search,User Uploaded,1658216,Wed Feb 26 18:14:07 PST 2014,3
2zb4xENNvN0,GjdGFhsQvdc,Best Vines,BEST VINES of February (99 Vines) Week 3! | (The Best Vine Compilation),Audio/Visual,Active,Search,User Uploaded,2151,Mon Feb 24 17:33:31 PST 2014,3
INSVXJtkMPY,CPm8l84LYQo,Best Vines,"Ultimate Best ""VINES COMPILATION' February 2014 - Best Vines-Funny Vines-Win Vines-Fail Vines",Audio/Visual,Active,Search,User Uploaded,1640,Mon Feb 24 14:28:21 PST 2014,3
OXNW6OL5fWo,UMHuyhs1ac8,Kick Ass Vines,Best Vines Compilation - Best Vines of 20 February 2014 - Funny Vines | Best Vine Videos,Audio/Visual,Active,Search,User Uploaded,328,Fri Feb 21 10:55:23 PST 2014,3
b7Gg42nX8aU,t5VZpgX7qPA,Fight & Vine Compilation,New Vines Compilation February #3,Audio/Visual,Active,Search,User Uploaded,5714,Wed Feb 19 12:24:29 PST 2014,3
MLXKB1N8jdw,LgsX_gVDlT8,Best Vines,The 21 Best Greatest Vines Compilation February 2014,Audio/Visual,Active,Search,User Uploaded,468,Tue Feb 18 16:52:14 PST 2014,3
hqmJpDKso_0,LgJeK9mh8I8,Best Vines,Greatest Vines Compilation February 2014 The Best Vines Week 4,Audio/Visual,Active,Search,User Uploaded,5312,Tue Feb 18 14:23:11 PST 2014,3
Qie268iMmeQ,SUkG_al137c,VineArmys,Greatest New Vine Compilation Febuary 2014 Ep. 9 (Only Best) Funny Vines,Audio/Visual,Active,Search,User Uploaded,17856,Tue Feb 18 14:16:56 PST 2014,3
c8v3P1jm_XQ,asu2Edau-W8,Best Vines,BEST Vines Compilation of February 2014! #1 New Compilation!,Audio/Visual,Active,Search,User Uploaded,967,Mon Feb 10 16:34:55 PST 2014,3
J2gANjIGZgQ,CjlR6ChLy4M,Fight & Vine Compilation,New Vines Compilation February #1,Audio/Visual,Active,Search,User Uploaded,3342,Mon Feb 10 15:21:31 PST 2014,3
yjUk5Eo6PnU,DIhEDgwY8ag,Galaxy‰ã¢ (Dardan),Better Than Twerking NEW - Vine by Amymarie Gaertner,Audio/Visual,Active,Search,User Uploaded,10093,Mon Feb 10 11:08:27 PST 2014,3
gUZfWkFtMZc,k1N5OcedP08,VinesDepot - Best Vine Compilation,_Ù÷ã_Ù_¦ #Ants by edIT - Best & Funny Vines (Amymarie Gaertner),Audio/Visual,Active,Search,User Uploaded,28733,Mon Feb 10 11:07:35 PST 2014,3
tDZVkKzmHhA,BsHfOBfZerU,Vine Compilations,BEST Vines Compilation of February 2014! #1 New Compilation!,Audio/Visual,Active,Search,User Uploaded,130615,Sun Feb 09 12:49:44 PST 2014,3
3jC0FdN8L1I,Lf81Lqn8ckc,VineArmys,(2hrs) Ultimate Vine Compilation From January 2013 - February 2014 (No Repeats) All Vines,Audio/Visual,Active,Search,User Uploaded,67974,Thu Feb 06 10:30:56 PST 2014,3
dgltuw1xzQo,GPPXreZWG4M,HurRicaneStyle14,Best Vines Compilation (The Most Funny) 200+ Vines! 2013/2014,Audio/Visual,Active,Search,User Uploaded,7347,Wed Feb 05 12:52:07 PST 2014,3
vEXa7H8B41o,Go_4TGH1GDM,Best Vines,Sexy Girls VINES Compilation 2014,Audio/Visual,Active,Search,User Uploaded,2386,Wed Feb 05 11:08:48 PST 2014,3
mrKvI6G2d9k,xRXBNtDNv58,Vines Channel,Best VINES Videos  - EPIC COMPILATION!,Audio/Visual,Active,Search,User Uploaded,249168,Tue Feb 04 17:45:47 PST 2014,3
dL35UGn2sCg,ZK2zvwOpp-w,RusVineArmy,RusVineArmy #28 | Amymarie Gaether Dance Vine Compilation,Audio/Visual,Active,Search,User Uploaded,6473,Tue Feb 04 10:35:53 PST 2014,3
WN_QewLWOAk,B7pahHS9J6U,UsaVine / Fail Channel,‰÷É 68 VINES ‰÷ÉBest Compilation Of Vines December/2013,Audio/Visual,Active,Search,User Uploaded,49653,Fri Jan 31 12:33:39 PST 2014,3
Cwls3Skm3Yc,twDYjPyckys,Best VineS fuNNy,Ultimate Vine Mash | vine compilation Funny Clips,Audio/Visual,Active,Search,User Uploaded,26332,Fri Jan 31 11:52:11 PST 2014,3
Jo0ZjUqjUTY,BVO1hN-LFkk,Greatest Vine Compilations,New Best Vine Compilation January 2014 Part 12 Top Funny Vines,Audio/Visual,Active,Search,User Uploaded,244087,Thu Jan 30 11:35:53 PST 2014,3
JIWOzUsO5PE,YEYu9syOCkU,Vine,The Best Of Vine Compilation 2014 Epic Funny Vines (Part 3),Audio/Visual,Active,Search,User Uploaded,3802,Mon Jan 27 14:28:27 PST 2014,3
yJPfYkIrqIk,jz_opW8KhRU,RusVineArmy,RusVineArmy #22 | VINE Compilation,Audio/Visual,Active,Search,User Uploaded,8532,Mon Jan 27 13:11:05 PST 2014,3
tb61cL4iUgQ,gOXeOFIwRBs,HugeFailWin,New Best Vines Compilation of December 2013 - Awesome Vine Videos,Audio/Visual,Active,Search,User Uploaded,181611,Fri Jan 24 18:04:00 PST 2014,3
rMUEJ9L0XDE,9mJdla_lrwg,UsaVine / Fail Channel,Best November Vines Compilation 2013 / Funny Vine Videos,Audio/Visual,Active,Search,User Uploaded,108063,Fri Jan 24 17:44:08 PST 2014,3
vvhUAo5mj28,kygP2105emQ,UsaVine / Fail Channel,Best November Vines Compilation 2013 / Funny Vine Videos,Audio/Visual,Active,Search,User Uploaded,76215,Fri Jan 24 17:36:57 PST 2014,3
I1McOurKGSs,_5jCuW60iZA,TopFunVines,Best New Vines Compilation December 2013 (Funny Epic Vine Videos Ever),Audio/Visual,Active,Search,User Uploaded,61275,Fri Jan 24 16:10:55 PST 2014,3
Z5nIz-m24QE,tZjzSXi66TU,Quick VINES Compilation,BEST VINES of January 2014 Compilation!! - Week #3,Audio/Visual,Active,Search,User Uploaded,58913,Fri Jan 24 15:49:44 PST 2014,3
UoPyzdXLM-A,dUggsfkSMv4,AmusingVines,New Best Vines Compilation December 2013 (Funny Vine Videos),Audio/Visual,Active,Search,User Uploaded,568187,Fri Jan 24 12:18:44 PST 2014,3
WI4QToc2NJc,NyBJ1Z5JERY,Top Viners,Amymarie Gaertner Dance Vines Compilation - Top Viners ‰ÏÓ,Audio/Visual,Active,Search,User Uploaded,54284,Thu Jan 23 15:05:24 PST 2014,3
8qNG7tfBILg,JVTO4wyYmg4,VinesCompilationz,Sexy Girl Vines Compilation - Amymarie Gaertner Dance Compilation,Audio/Visual,Active,Search,User Uploaded,47873,Thu Jan 23 15:04:08 PST 2014,3
FWGjc8kInMo,kV12kU5CEMA,DanceHotspot,Sexy Dance Vine Compilation | Amymarie Gaertner [MUST WATCH],Audio/Visual,Inactive,Search,User Uploaded,8862,Thu Jan 23 15:02:14 PST 2014,3
7pzm0_6sECw,JumAqwgwU30,LIKE BEST VINE,TOP AMYMARIE GAERTNER VINES ‰÷É Ultimate Vine Compilation   NOVEMBER 2013 ‰ÏÒ   YouTube,Audio/Visual,Active,Search,User Uploaded,6992,Thu Jan 23 14:59:49 PST 2014,3
 -kYvol1VgWo,rvs_X2hom5s,10 vines daily!,Dont trust Logan Paul in case of a fire - Amymarie Gaertner Vine,Audio/Visual,Active,Search,User Uploaded,4122,Thu Jan 23 13:41:45 PST 2014,3
6paHYepn-wc,2DVb_KMmZjo,Crazy Vines,Best VINES Of January 2014 Compilation Part 3,Audio/Visual,Active,Search,User Uploaded,11575,Thu Jan 23 11:54:09 PST 2014,3
MessUDP3b78,pFS0FtjCOew,JumpFallFailLool,BEST VINES OF JANUARY 2014 || VINE COMPILATION,Audio/Visual,Active,Search,User Uploaded,33429,Tue Jan 21 16:08:36 PST 2014,3
WOZ-wHH4_xs,jYhrnhPPbaY,VineBase,109 VINES hilarious Compilation Of Vines January 2014,Audio/Visual,Active,Search,User Uploaded,17686,Tue Jan 21 13:06:46 PST 2014,3
W0JMJggoZPg,slc4GOLXUag,TheHalfwayMainstream,Funniest Vines Compilation 2014 / 2013 - Best Vine Videos - January 2014 Video - Funny Vines,Audio/Visual,Active,Search,User Uploaded,252229,Mon Jan 20 15:39:06 PST 2014,3
AA244Mv5VkM,fz5XeLtYb2I,Best Vines,BEST VINES OF JANUARY 2014 - 6 MINUTE VINE COMPILATION NEW/FUNNY VINES,Audio/Visual,Active,Search,User Uploaded,2217,Mon Jan 20 13:19:46 PST 2014,3
vHts5IUb_3U,zuugtD5WLrU,DinoAlliance,BEST VINES OF JANUARY 2014 WEEK#2 (VINE COMPILATION) [NEW VINE VIDEOS],Audio/Visual,Active,Search,User Uploaded,2618,Mon Jan 20 11:06:03 PST 2014,3
_EBl6cCYlE4,Ali_Lr1dtO4,LongestVines,BEST VINES OF JANUARY 2014 - 6 MINUTE VINE COMPILATION NEW/FUNNY VINES,Audio/Visual,Active,Search,User Uploaded,124861,Mon Jan 20 11:01:42 PST 2014,3
g7EUbtlrSb8,ZfxGl8AnujU,pLaceTVi,Best of New Vines Compilation of the Year 2013!,Audio/Visual,Active,Search,User Uploaded,505874,Fri Jan 17 16:54:27 PST 2014,3
14oykiH0q3Q,Mo416GVkf5M,Mr Weekly Vines - [ Best Vines ],"‰÷É 110 VINES ‰÷É Compilation Best Of Vines November/2013 - Best Videos , Part3 0vine.com",Audio/Visual,Active,Search,User Uploaded,278645,Fri Jan 17 14:09:01 PST 2014,3
 -ErpUMYJ8o0,3-EnKOfoekc,VineBase,96 VINES Best Compilation Of Vines January 2014,Audio/Visual,Active,Search,User Uploaded,6956,Fri Jan 17 12:54:50 PST 2014,3
3kfg7EI0hRA,Sm9t97nsJCs,Vines Army,BEST Vines Compilation JANUARY 2014!,Audio/Visual,Active,Search,User Uploaded,32586,Fri Jan 17 10:00:49 PST 2014,3
gRWqPxaC99o,Dxuin9WhJgU,4best,BEST VINES OF ALL TIME COMPILATION +2 HOURS [+1500 VINES] BEST VINES DECEMBER!,Audio/Visual,Active,Search,User Uploaded,2595,Thu Jan 16 16:13:38 PST 2014,3
TFrcMSYnqvM,b9DJ163UkVM,4best,BEST VINES OF ALL TIME COMPILATION +2 HOURS [+1500 VINES] BEST VINES DECEMBER!,Audio/Visual,Active,Search,User Uploaded,21754,Thu Jan 16 14:17:23 PST 2014,3
6x3HsG7UT6Y,5ubcOH2Zqno,Best Vines,ULTIMATE January VINE Compilation! 6 Minutes Of The Best Vines january 2014,Audio/Visual,Active,Search,User Uploaded,3844,Thu Jan 16 12:26:06 PST 2014,3
saDx81mlDB0,rZP-lehMi-Q,FleX Cinema,Best Vines of the Week - DECEMBER 2013 - WEEK 1,Audio/Visual,Active,Search,User Uploaded,39373,Wed Jan 15 18:24:32 PST 2014,3
tI1_fFY6cHI,2NRHcgxcx-Y,FleX Cinema,Best Vines of the Week - DECEMBER 2013 - WEEK 4,Audio/Visual,Active,Search,User Uploaded,30120,Wed Jan 15 16:55:05 PST 2014,3
UJKyorCmL8U,0AY4h4d6ySQ,DinoAlliance,BEST VINES OF JANUARY 2014 WEEK#1 (VINE COMPILATION) [NEW VINE VIDEOS],Audio/Visual,Active,Search,User Uploaded,2985,Wed Jan 15 15:59:24 PST 2014,3
x4dqNjuIFmU,62apDn1D92E,VinesDepot - Best Vine Compilation,Extreme Vine Compilation 300 Vines! (BEST OF 2013),Audio/Visual,Active,Search,User Uploaded,19828414,Wed Jan 15 12:59:43 PST 2014,3
Rl8KosOLZ9M,71JR72eOZOM,VineyVideos,Funny Vines #95,Audio/Visual,Active,Search,User Uploaded,248819,Wed Jan 15 12:10:10 PST 2014,3
MJtgCe3WIk4,ixRXWYbSfjA,iVines Videos Compilation,BEST VINES Video Compilation November 2013 (Week 1) Pt. 1 - Youtube,Audio/Visual,Active,Search,User Uploaded,1754289,Wed Jan 15 11:52:46 PST 2014,3
6_QWcef7QD0,l7CsDzx1oLU,Mr Weekly Vines - [ Best Vines ],‰÷É1H‰÷É Compilation Funny Vines of october 2013 PART 1 Funny Videos 0vine.com,Audio/Visual,Active,Search,User Uploaded,2456101,Tue Jan 14 12:06:49 PST 2014,3
hVEnl5Xnsyo,beBIGsGjxfE,DneprBloggers,Best VINE on this week #3,Audio/Visual,Active,Search,User Uploaded,4912,Mon Jan 13 15:55:35 PST 2014,3
qGksApq6rw0,nw3A3kQLW8E,Best Vines,67 VINES Best Compilation Of Vines January 2014,Audio/Visual,Active,Search,User Uploaded,2836,Mon Jan 13 12:57:11 PST 2014,3
ff7J-FrGHQI,sdF8crU7Tcc,Best Vines,BEST Vines Compilation JANUARY 2014!,Audio/Visual,Active,Search,User Uploaded,3981,Mon Jan 13 12:10:33 PST 2014,3
iiRKGButveU,IDz-8Y7ilW4,IamAmericanNukes,BEST VINES JANUARY 2014,Audio/Visual,Active,Search,User Uploaded,55999,Mon Jan 13 11:52:59 PST 2014,3
cuZl_gZ-Tfc,O1l0P3YuWlk,UsaVine / Fail Channel,67 VINES Best Compilation Of Vines January 2014,Audio/Visual,Active,Search,User Uploaded,619396,Mon Jan 13 10:51:12 PST 2014,3
RdVoQkpjpuo,NYs2TPLjKnI,Vine,Vine Comp Of The Week Teyana Taylor Twerking Deelishis Terio Dancing To Chief Keef ETC!,Audio/Visual,Active,Search,User Uploaded,386798,Thu Jan 09 17:21:08 PST 2014,3
I7NnPTpX4C4,cUnACfF1U2k,UsaVine / Fail Channel,Best November Vines Compilation 2013 / Funny Vine Videos,Audio/Visual,Active,Search,User Uploaded,102680,Thu Jan 09 13:41:08 PST 2014,3
C1I34wL7RuU,Y5D-kNsBnyM,UsaVine / Fail Channel,Best November Girls Vines Compilation 2013 / Funny Vine Videos,Audio/Visual,Active,Search,User Uploaded,589484,Thu Jan 09 12:21:52 PST 2014,3
6Te3ubt65DY,4HU1xV2XplA,MrGvestPlays,Ultimate Vine Compilation November 2013 (Over 100 Vines),Audio/Visual,Active,Search,User Uploaded,48787,Thu Jan 09 11:55:14 PST 2014,3
XCuDysrKp3o,TV01I8NGcqo,HugeFW,"New Best VINES Compilation of November 2013 - Sexy, Funny, Epic & Huge Vine Videos",Audio/Visual,Active,Search,User Uploaded,49770,Thu Jan 09 11:22:35 PST 2014,3
InGmXtOhSoU,z2lhcKQE5ls,VineBase,Sexy Girls VINES Compilation 6 November #2013,Audio/Visual,Active,Search,User Uploaded,97127,Thu Jan 09 10:58:58 PST 2014,3
F1sYbu0TTc0,nHIcoJmHq4k,CzarMichal,Sexiest Dancing Vine Compilation 2013 (HD),Audio/Visual,Active,Search,User Uploaded,44469,Thu Jan 09 10:24:59 PST 2014,3
YcgTqC7OCJs,PWxqkjwUg1o,MrHugeFW,Best New VINES of December 2013 Compilation (NEW VINE VIDEOS!),Audio/Visual,Active,Search,User Uploaded,74005,Wed Jan 08 17:36:45 PST 2014,3
w6pu-5QIL80,Aju_2Mbp2BA,HugeFW,"New Best VINES Compilation of December 2014 - Sexy, Funny, Epic & Huge Vine Videos",Audio/Visual,Active,Search,User Uploaded,828240,Wed Jan 08 16:47:29 PST 2014,3
JAJK1GGtQBE,I5rm7_uJLEA,HugeVine,New Best Vines Compilation of December 2013 - Awesome Vine Videos,Audio/Visual,Active,Search,User Uploaded,6485,Wed Jan 08 13:18:12 PST 2014,3
JAHQliLJNjA,UeGQKRiXvuw,HugeVine,New Best Vines Compilation of December 2013 - Awesome Vine Videos,Audio/Visual,Active,Search,User Uploaded,39593,Wed Jan 08 12:02:37 PST 2014,3
cOvCJ2TinpU,IiuM9ziB8kE,Mr Weekly Vines - [ Best Vines ],‰÷É 75 VINES‰÷É Compilation Best Vines Of 24-25/October/2013 Funny Videos 0vine.com,Audio/Visual,Active,Search,User Uploaded,198563,Tue Jan 07 16:42:27 PST 2014,3
pKnpu0Wvx8I,yATL8dEUmaQ,AmericansTalents,Best New 6 Min VINES of OCTOBER 2013 Compilation - Epic Funny Vine Videos,Audio/Visual,Active,Search,User Uploaded,122876,Tue Jan 07 15:55:47 PST 2014,3
H15QPoGNtb8,oRtAyR50zec,AmericansTalents,Best New VINES of OCTOBER 2013 Compilation - 6 Min Epic Funny Vine Videos,Audio/Visual,Active,Search,User Uploaded,11771,Tue Jan 07 15:47:27 PST 2014,3
ZELD3ja720w,Jpjvl7C-Ag4,bestof vinescompilation,Best VINES of October 2013 Compilation,Audio/Visual,Active,Search,User Uploaded,348395,Tue Jan 07 14:00:00 PST 2014,3
mTE_Yi5tW2I,ob22Sd3R7Rs,PicFailWin,6 Min New Best Vines Compilation October 2013 - Best of Vine,Audio/Visual,Active,Search,User Uploaded,12791,Tue Jan 07 13:12:42 PST 2014,3
THmvf0Zj6wk,AEaRM8SvlXQ,PicFailWin,New Best Vines Compilation October 2013 - Best of Vine,Audio/Visual,Active,Search,User Uploaded,90059,Mon Jan 06 16:24:27 PST 2014,3
ugj_uADHcVc,NkCBC1ZVRxo,Mr Weekly Vines - [ Best Vines ],‰÷É80 VINES ‰÷É Compilation Best Vines Of 10-11/October/2013 Funny Videos 0vine.com,Audio/Visual,Active,Search,User Uploaded,150337,Mon Jan 06 11:00:21 PST 2014,3
cSdEIaSTHrk,i7OM5KaTgLg,Lezap SpiOn,Best VINES of SEPTEMBER 2013 Compilation (77 VINES),Audio/Visual,Active,Search,User Uploaded,158395,Fri Jan 03 17:09:38 PST 2014,3
